BR_Origem,ex_1,ex_2,ex_3,ex_4,ex_5,ex_6,ex_7,ex_8,ex_9,ex_10,ex_11,ex_12,ex_13,ex_14,ex_15,ex_16,ex_17,ex_18,ex_19,ex_20,ex_21,ex_22,ex_23,ex_24,ex_25,ex_26,ex_27,ex_28,ex_29,ex_30,ex_31,ex_32,ex_33,ex_34,ex_35,ex_36,ex_37,ex_38,ex_39,ex_40,ex_41,ex_42,ex_43,ex_44,ex_45,ex_46,ex_47,ex_48,ex_49,ex_50,ex_51,ex_52,ex_53,ex_54,ex_55,ex_56,ex_57,ex_58,ex_59,ex_60,ex_61,ex_62,ex_63,ex_64,ex_65,ex_66,ex_67,ex_68,ex_69,ex_70,ex_71,ex_72,ex_73,ex_74,ex_75,ex_76,ex_77,ex_78,ex_79,ex_80,ex_81,ex_82,ex_83,ex_84,ex_85,ex_86,ex_87,ex_88,ex_89,ex_90,ex_91,ex_92,ex_93,ex_94,ex_95,ex_96,ex_97,ex_98,ex_99,ex_outros
br_1,59,48,75,62,11,30,35,105,42,33,21,2,13,32,8,42,22,16,7,31,34,15,12,15,25,11,0,11,10,19,13,30,0,13,7,10,47,22,6,13,2,14,10,4,3,2,17,11,31,12,13,1,11,15,24,2,6,25,14,7,3,69,10,7,38,6,19,19,3,5,8,12,15,11,8,18,0,6,3,9,9,1,1,4,30,2,2,9,3,3,4,3,0,4,0,4,5,5,4,2111
br_2,27,28,45,65,12,20,14,55,17,14,12,0,12,9,16,17,21,6,7,8,12,14,3,9,16,4,3,1,2,8,10,14,0,6,14,1,12,8,2,6,0,7,4,3,0,4,8,2,10,6,11,3,12,5,11,6,6,5,8,3,1,23,6,3,7,0,8,11,3,1,6,4,15,11,0,11,14,2,1,2,11,2,1,1,13,0,3,2,3,0,2,2,0,2,0,0,4,0,0,1220
br_3,30,25,47,72,9,12,20,57,41,27,16,3,6,11,11,6,18,6,3,10,8,5,4,3,12,6,2,5,6,1,2,20,2,4,6,2,5,7,2,3,0,5,3,5,7,2,16,2,8,2,6,1,4,12,7,1,5,3,7,0,7,21,5,6,13,1,3,21,3,0,1,0,7,11,2,20,0,3,3,3,10,0,1,3,8,0,0,6,2,2,1,0,0,0,0,2,5,2,0,1020
br_4,22,36,39,34,6,15,19,47,20,27,8,4,9,11,4,10,9,10,2,9,10,12,3,3,9,1,1,6,2,3,6,6,0,3,5,4,11,9,1,5,0,8,3,2,2,2,14,3,4,3,9,1,13,5,11,5,8,15,6,2,1,23,3,5,13,9,13,11,2,0,1,2,20,3,4,16,4,2,4,7,8,3,3,2,15,1,1,6,3,1,1,2,0,1,1,0,6,2,0,1029
br_5,60,34,28,43,15,16,32,40,21,22,5,2,12,3,5,4,35,5,4,4,7,3,4,10,14,7,3,3,2,7,6,8,0,8,11,11,5,6,1,3,1,7,2,3,4,0,4,10,11,6,9,1,9,9,6,0,10,19,5,2,0,5,5,7,6,0,2,2,2,2,1,1,6,3,8,0,0,3,1,2,2,0,3,4,6,0,0,7,1,0,1,2,0,1,2,1,0,0,1,910
br_6,19,34,44,26,5,15,12,47,40,15,8,2,3,9,3,11,15,6,6,24,11,7,9,3,9,3,0,6,3,2,1,6,1,3,2,2,11,6,3,3,0,10,3,6,1,1,5,0,13,3,8,0,7,6,7,3,1,5,16,1,2,18,9,2,8,0,12,2,3,0,0,1,5,6,2,7,0,5,3,4,6,0,0,0,15,1,1,2,0,0,1,0,0,3,0,0,8,1,0,857
br_7,13,15,17,40,7,13,19,48,22,11,5,1,9,0,0,8,5,1,2,6,17,2,7,6,3,1,2,1,2,5,3,12,1,0,0,3,8,12,1,7,1,9,1,2,0,0,13,2,6,3,8,1,1,2,7,4,12,7,1,0,1,10,3,1,5,1,6,11,1,1,2,3,8,6,1,3,6,1,2,1,3,8,3,3,10,0,0,0,0,0,2,0,1,2,0,3,2,0,0,640
br_8,23,27,7,35,6,9,14,17,5,15,2,5,4,0,5,17,11,1,12,7,6,6,4,3,7,2,2,0,5,5,4,1,0,2,1,4,8,2,1,2,0,3,8,4,1,2,1,5,5,8,9,0,4,1,4,6,2,7,1,3,1,5,0,1,7,0,1,0,0,4,1,5,1,1,0,5,0,0,3,6,2,0,2,3,2,1,3,2,0,0,1,1,0,1,1,2,6,1,0,568
br_9,17,21,12,34,9,9,10,25,10,13,1,0,4,9,1,7,6,3,4,6,6,0,1,3,6,1,5,7,1,2,1,3,0,2,1,1,5,2,1,1,0,6,0,4,4,1,6,4,3,3,4,0,7,3,0,3,4,3,8,3,0,6,1,1,3,1,2,3,1,0,2,2,2,2,3,0,0,1,2,4,4,0,2,0,4,1,0,1,0,1,0,0,0,1,0,3,4,5,1,631
br_10,28,19,10,28,7,3,25,7,7,5,3,0,4,6,1,6,7,2,4,5,2,2,0,4,3,4,1,4,5,3,7,3,0,0,0,0,7,3,2,5,0,4,1,3,0,0,3,2,0,0,5,0,2,4,1,0,2,6,4,3,0,4,0,0,10,2,3,4,1,1,0,4,8,0,1,4,0,0,2,7,16,4,2,0,5,1,3,0,1,0,3,2,0,0,2,1,3,0,0,492
